months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_relationship,capital-gains,capital-loss,incident_date,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,incident_type_Multi-vehicle Collision,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_?,collision_type_Front Collision,collision_type_Rear Collision,collision_type_Side Collision,policy_year
370,55,285496,1994-05-27,IL,2000,972.18,0,443920,MALE,High School,other-relative,72700,-68200,2015-01-11,1,SC,20,3,NO,0,0,YES,71520,17880,5960,47680,2000,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1994
413,55,115399,1991-02-08,IN,2000,1268.79,0,453148,MALE,MD,own-child,0,-31000,2015-01-19,1,WV,15,1,?,2,2,?,98160,8180,16360,73620,2011,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1991
237,40,736882,1996-02-02,IN,1000,883.31,0,434733,MALE,College,husband,0,-53500,2015-02-24,1,VA,6,1,NO,1,3,NO,77880,7080,14160,56640,2005,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1996
8,35,699044,2013-12-05,OH,2000,1266.92,0,613982,MALE,Masters,own-child,0,0,2015-01-09,1,OH,16,3,NO,1,3,YES,71500,16500,11000,44000,2006,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013
257,43,863236,1990-09-20,IN,2000,1322.1,0,436984,MALE,High School,own-child,0,-29200,2015-01-28,1,PA,4,1,YES,1,3,YES,9020,1640,820,6560,2005,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1990
202,34,608513,2002-07-18,IN,500,848.07,3000000,607730,MALE,JD,not-in-family,31000,-30200,2015-01-07,0,VA,5,1,YES,2,1,?,5720,1040,520,4160,2003,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2002
224,40,914088,1990-02-08,OH,2000,1291.7,0,609837,FEMALE,JD,not-in-family,0,-55600,2015-01-08,1,SC,21,1,NO,1,0,YES,69840,7760,15520,46560,2009,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1990
241,45,596785,2014-03-04,IL,2000,1104.5,0,432211,FEMALE,PhD,unmarried,0,0,2015-02-15,1,SC,5,1,NO,2,2,NO,91650,14100,14100,63450,2011,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2014
64,25,908616,2000-02-18,IL,1000,954.16,0,473328,MALE,Masters,husband,53200,0,2015-01-18,1,SC,22,4,NO,0,0,?,75600,12600,12600,50400,2005,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000
166,37,666333,2008-06-19,IL,2000,1337.28,8000000,610393,MALE,JD,husband,27500,0,2015-02-28,1,WV,10,3,NO,2,2,?,67140,7460,7460,52220,2006,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008
155,35,336614,2003-08-01,IL,1000,1088.34,0,614780,FEMALE,Associate,other-relative,81100,0,2015-02-24,1,NY,16,3,YES,2,3,NO,29790,3310,3310,23170,2008,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2003
114,30,584859,1992-04-04,IL,1000,1558.29,0,472248,MALE,High School,wife,51400,-64000,2015-01-09,1,NY,1,3,NO,1,2,?,77110,14020,14020,49070,2015,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1992
149,37,990493,1991-01-13,IL,500,1415.68,0,603381,MALE,PhD,own-child,0,0,2015-02-12,1,WV,17,1,YES,0,1,YES,64800,10800,5400,48600,1999,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1991
147,33,129872,2010-08-08,OH,1000,1334.15,6000000,479224,MALE,High School,not-in-family,53300,-49200,2015-01-24,1,WV,15,1,YES,2,0,YES,53100,10620,5310,37170,1995,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2010
62,28,200152,2003-03-09,IL,1000,988.45,0,430141,FEMALE,Masters,unmarried,0,0,2015-01-09,1,NY,3,1,?,1,1,YES,60200,6020,6020,48160,2004,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2003
289,49,933293,1993-02-03,IL,2000,1222.48,0,620757,FEMALE,JD,unmarried,0,0,2015-01-18,0,WV,16,1,NO,1,1,YES,5330,1230,820,3280,2001,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1993
431,54,485664,2002-11-25,IN,2000,1155.55,0,615901,FEMALE,MD,unmarried,65700,0,2015-01-21,1,NY,4,3,?,2,0,?,62300,12460,6230,43610,2007,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2002
199,37,982871,1997-07-27,IN,500,1262.08,0,474615,MALE,JD,wife,48500,0,2015-01-08,1,NC,4,1,?,0,3,NO,60170,10940,10940,38290,2011,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1997
79,26,206213,1995-05-08,IL,500,1451.62,0,456446,MALE,Associate,not-in-family,0,-55700,2015-01-03,1,WV,19,1,NO,2,2,?,40000,8000,4000,28000,2010,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1995
116,34,616337,2012-08-30,IN,500,1737.66,0,470577,MALE,Associate,unmarried,0,-24100,2015-01-01,1,WV,1,1,?,1,1,?,97080,16180,16180,64720,2001,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2012
37,23,448961,2006-04-30,IL,500,1475.93,0,441648,FEMALE,College,husband,0,-67400,2015-01-16,1,SC,17,3,YES,1,0,NO,51660,5740,5740,40180,2010,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2006
106,30,790442,2003-04-13,OH,500,538.17,0,433782,FEMALE,PhD,own-child,49700,-60200,2015-02-10,1,NC,23,1,NO,2,2,NO,51120,5680,5680,39760,2005,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2003
269,44,108844,2007-12-05,IL,2000,1081.08,0,468104,MALE,JD,unmarried,36400,-28700,2015-02-14,1,SC,14,1,YES,0,2,?,56400,11280,11280,33840,2014,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2007
265,40,430029,2006-08-21,IL,1000,1454.43,0,459407,FEMALE,MD,husband,0,0,2015-02-21,1,NY,17,3,NO,2,3,?,55120,6890,0,48230,2002,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2006
163,33,529112,1990-01-08,IN,500,1240.47,0,472573,FEMALE,Associate,husband,35300,0,2015-02-18,1,NC,11,3,YES,1,1,?,77110,0,14020,63090,2014,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1990
355,47,939631,1990-03-18,OH,2000,1273.7,4000000,433473,MALE,College,husband,0,0,2015-01-10,1,WV,19,3,NO,2,1,NO,62800,6280,6280,50240,2003,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990
175,34,866931,2008-01-07,IN,1000,1123.87,8000000,446326,FEMALE,PhD,other-relative,0,0,2015-02-26,1,NY,5,1,?,2,0,YES,7290,810,810,5670,1995,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2008
192,35,582011,1997-03-10,IL,1000,1245.89,0,435481,FEMALE,Masters,wife,0,-40300,2015-01-01,1,WV,19,1,NO,0,0,?,76600,15320,7660,53620,2000,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1997
430,59,691189,2004-01-10,OH,2000,1326.62,7000000,477310,MALE,MD,own-child,0,0,2015-01-03,1,NY,19,3,?,0,3,YES,81800,16360,8180,57260,1998,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2004
91,27,537546,1994-08-20,IL,2000,1073.83,0,609930,FEMALE,JD,husband,0,0,2015-01-17,0,NY,4,1,?,1,2,?,7260,1320,660,5280,2008,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1994
217,39,394975,2002-06-02,IN,1000,1530.52,0,603993,MALE,College,not-in-family,0,0,2015-02-22,0,WV,8,1,?,2,1,YES,4300,430,430,3440,2000,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2002
223,40,729634,1994-04-28,IN,500,1201.41,0,437818,FEMALE,JD,husband,88400,-46500,2015-01-27,1,NC,7,3,YES,1,0,?,70510,12820,12820,44870,1999,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1994
195,39,282195,2014-08-17,OH,1000,1393.57,0,478423,MALE,PhD,not-in-family,47600,-39600,2015-02-27,1,VA,5,1,NO,0,1,YES,2640,480,480,1680,2009,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2014
22,26,420810,2007-08-11,OH,1000,1276.57,0,467784,MALE,PhD,not-in-family,71500,0,2015-01-06,1,NY,3,1,YES,1,2,NO,78900,15780,7890,55230,1995,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2007
439,56,524836,2008-11-20,IN,500,1082.49,0,606714,FEMALE,PhD,unmarried,36100,-55000,2015-02-28,1,SC,12,3,?,2,3,?,56430,0,6270,50160,2014,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008
94,32,307195,1995-10-18,IN,1000,1414.74,0,464691,FEMALE,Masters,own-child,0,0,2015-02-22,0,VA,19,1,NO,1,3,NO,2400,300,300,1800,2014,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1995
11,39,623648,1993-05-19,IL,2000,1470.06,0,431683,MALE,PhD,husband,56600,-45800,2015-01-07,1,WV,22,1,YES,0,1,NO,65790,7310,7310,51170,2007,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1993
151,36,485372,2005-02-26,OH,2000,870.63,0,431725,FEMALE,MD,own-child,94800,-58500,2015-01-06,1,VA,12,3,NO,1,1,NO,62920,11440,5720,45760,2000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2005
154,34,598554,1990-02-14,IN,500,795.23,0,609216,MALE,PhD,other-relative,36900,0,2015-01-10,1,NY,15,3,YES,2,1,?,69480,15440,0,54040,2014,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1990
245,44,303987,1993-09-30,IL,1000,1168.2,0,452787,MALE,JD,husband,69100,0,2015-02-11,1,OH,23,3,NO,0,3,NO,44280,7380,3690,33210,1997,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1993
119,32,343161,2014-06-10,IL,1000,993.51,0,468767,MALE,High School,unmarried,0,-49500,2015-01-12,1,WV,12,1,NO,0,3,YES,56300,5630,11260,39410,2011,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2014
215,42,519312,2008-10-28,OH,500,1848.81,0,435489,MALE,JD,own-child,0,-49000,2015-02-06,1,WV,20,3,YES,2,2,YES,68520,11420,5710,51390,2003,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008
295,42,132902,2007-04-24,OH,2000,1641.73,5000000,450149,MALE,PhD,not-in-family,62400,0,2015-01-20,1,VA,16,3,NO,0,0,NO,59130,6570,6570,45990,2006,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2007
254,39,332867,1993-12-13,IN,500,1362.87,0,458364,FEMALE,MD,other-relative,35700,0,2015-02-22,1,NY,6,3,YES,2,2,NO,82320,13720,6860,61740,1995,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1993
107,31,356590,2011-08-17,IN,500,1239.22,7000000,476458,FEMALE,High School,not-in-family,43400,-91200,2015-01-30,1,SC,12,1,YES,0,1,NO,89700,13800,13800,62100,2009,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2011
478,64,346002,1990-08-20,OH,500,835.02,0,602433,FEMALE,Associate,unmarried,59600,0,2015-02-02,1,WV,17,3,NO,1,1,NO,33930,0,3770,30160,1998,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1990
128,30,500533,1994-02-11,OH,1000,1061.33,0,478575,MALE,MD,own-child,43300,-66200,2015-01-10,1,WV,8,1,NO,0,3,NO,68530,12460,6230,49840,1997,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1994
338,49,348209,1994-02-22,IN,1000,1279.08,0,449718,MALE,MD,own-child,0,-51500,2015-02-27,0,NC,13,1,NO,0,1,?,4300,860,860,2580,2004,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1994
271,42,486676,2011-08-15,OH,500,1105.49,0,463181,FEMALE,Associate,own-child,56200,-50000,2015-02-20,1,SC,12,2,?,2,3,?,68310,12420,6210,49680,2003,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011
222,41,260845,1998-11-11,OH,2000,1055.53,0,441992,FEMALE,MD,not-in-family,37800,-50300,2015-02-08,1,WV,7,1,NO,0,2,NO,61290,6810,6810,47670,1995,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1998
199,41,657045,1995-12-04,OH,1000,895.83,0,452597,FEMALE,Associate,husband,0,0,2015-02-11,1,NC,10,1,NO,1,2,NO,30100,3010,0,27090,1999,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1995
215,37,761189,2002-12-28,IN,500,1632.93,0,614417,FEMALE,College,not-in-family,0,-42900,2015-02-23,1,SC,7,3,NO,2,0,YES,57120,9520,4760,42840,2002,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2002
192,40,175177,2004-04-15,IL,1000,1405.99,0,472895,FEMALE,Associate,wife,0,0,2015-03-01,1,VA,18,3,YES,1,0,YES,42930,9540,4770,28620,2005,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2004
120,35,116700,2001-02-02,OH,1000,1425.54,0,475847,FEMALE,High School,other-relative,78300,0,2015-01-15,1,SC,22,3,NO,2,0,NO,51210,11380,5690,34140,2010,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2001
270,45,166264,2010-01-12,OH,1000,1038.09,0,476978,FEMALE,College,husband,0,-19700,2015-01-14,1,NY,18,3,NO,1,1,YES,89400,14900,7450,67050,1998,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010
319,47,527945,1992-04-14,IN,500,1307.11,0,600648,MALE,College,not-in-family,0,0,2015-02-17,1,WV,22,3,NO,0,2,?,59730,10860,10860,38010,2005,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1992
194,39,627540,2010-05-21,OH,1000,1489.24,6000000,608335,FEMALE,JD,wife,0,-45000,2015-01-24,0,SC,15,1,YES,2,2,YES,8060,1240,1240,5580,2004,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2010
227,38,279422,2013-10-27,OH,500,976.67,0,471600,FEMALE,PhD,unmarried,0,0,2015-01-21,1,SC,16,1,?,1,2,?,72200,14440,7220,50540,2013,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2013
137,31,484200,1994-10-12,OH,2000,1340.43,0,441175,MALE,High School,husband,52700,-40600,2015-02-19,1,NC,6,3,NO,1,2,NO,50800,10160,10160,30480,2005,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1994
244,40,645258,1997-07-04,OH,2000,1267.81,5000000,603123,FEMALE,Masters,wife,0,0,2015-01-03,0,NC,10,1,?,2,1,?,6600,660,1320,4620,2005,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1997
78,29,694662,2011-02-15,IL,1000,1234.2,6000000,457767,MALE,Masters,other-relative,0,0,2015-01-29,1,NY,3,1,YES,2,2,NO,7500,750,1500,5250,2002,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2011
200,35,960680,1994-08-21,IN,2000,1318.06,0,618498,MALE,High School,wife,57300,-80600,2015-01-19,0,VA,13,1,NO,0,3,YES,6490,1180,1180,4130,2002,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1994
284,48,498140,1997-05-15,IN,2000,769.95,0,605486,MALE,Masters,not-in-family,0,-44200,2015-01-19,1,NY,16,2,?,2,3,NO,60940,5540,11080,44320,2013,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1997
275,41,498875,1996-10-26,OH,2000,1514.72,0,617970,MALE,High School,own-child,35700,0,2015-02-02,1,NY,13,3,YES,0,1,?,58300,5830,11660,40810,2007,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1996
153,34,798177,2006-03-04,IL,1000,873.64,4000000,432934,FEMALE,Associate,husband,800,0,2015-01-30,1,SC,9,3,NO,2,1,?,68400,11400,11400,45600,2007,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2006
134,32,614763,1991-01-02,IL,500,1612.43,0,456762,FEMALE,MD,own-child,36400,0,2015-01-08,1,VA,2,1,?,2,1,YES,64240,11680,11680,40880,2015,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1991
31,36,679370,1999-08-15,IL,2000,1318.24,9000000,601748,FEMALE,College,not-in-family,0,-78600,2015-01-30,0,WV,9,1,NO,0,1,YES,4700,940,470,3290,2002,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1999
41,25,958857,1992-01-15,IN,1000,1226.83,0,607763,FEMALE,College,not-in-family,0,-56100,2015-01-07,1,SC,12,3,YES,2,0,?,45120,0,5640,39480,2011,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1992
127,29,686816,1999-12-07,OH,2000,1326.44,5000000,436973,FEMALE,High School,own-child,0,0,2015-02-24,1,SC,12,2,YES,1,1,?,66950,10300,10300,46350,1995,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1999
61,23,127754,1993-06-06,IL,2000,1136.83,4000000,471300,FEMALE,Associate,own-child,0,-62400,2015-02-02,1,NY,14,1,NO,0,3,?,98340,8940,17880,71520,2004,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1993
207,42,918629,2000-10-03,IL,2000,1322.78,0,453277,MALE,PhD,own-child,55200,0,2015-02-28,0,WV,9,1,NO,0,1,NO,5900,590,590,4720,2007,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2000
219,43,731450,2010-12-29,IN,1000,1483.25,0,465100,FEMALE,MD,not-in-family,90700,-20800,2015-02-09,1,NC,3,3,NO,1,1,?,70680,5890,11780,53010,2009,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010
271,42,307447,1990-03-17,IL,500,1515.3,0,603248,FEMALE,High School,not-in-family,0,0,2015-01-19,1,SC,21,3,NO,1,0,NO,93720,17040,8520,68160,2005,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1990
80,25,992145,2012-03-01,IL,2000,1075.18,5000000,601112,FEMALE,PhD,husband,67700,-58400,2015-02-21,0,OH,5,1,NO,2,0,YES,6930,1260,630,5040,2001,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2012
325,47,900628,2006-02-05,IN,1000,1690.27,0,438830,FEMALE,Associate,not-in-family,61500,0,2015-01-14,1,VA,11,1,YES,0,3,NO,72930,6630,6630,59670,2006,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2006
29,25,235220,2014-11-01,IL,2000,1352.83,0,464959,MALE,Masters,own-child,0,-71700,2015-01-22,1,SC,4,4,YES,1,2,YES,64890,7210,7210,50470,2013,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014
295,48,740019,2009-06-17,OH,1000,1148.73,0,439787,FEMALE,College,wife,0,0,2015-02-22,0,WV,6,1,?,1,2,YES,5400,900,900,3600,1999,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2009
239,42,246882,1999-09-20,IL,1000,969.5,0,464839,MALE,College,not-in-family,0,0,2015-01-26,0,NC,10,1,NO,0,0,?,5600,700,700,4200,2007,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1999
269,41,797613,1990-10-19,IN,500,1463.82,0,448984,FEMALE,College,not-in-family,0,-72300,2015-01-24,1,SC,23,1,YES,0,0,?,79300,15860,15860,47580,2007,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1990
80,27,193442,1996-08-05,IL,1000,1474.17,0,440327,FEMALE,College,unmarried,0,0,2015-02-19,1,WV,13,1,YES,1,0,YES,52800,10560,5280,36960,2004,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1996
279,41,389238,2001-06-06,IL,500,1497.35,0,460742,FEMALE,JD,husband,37300,-31700,2015-01-29,1,NC,16,3,?,2,3,NO,28800,0,3600,25200,2013,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2001
165,33,760179,2007-03-25,OH,1000,1427.14,0,446895,FEMALE,Associate,other-relative,35300,-58100,2015-02-15,1,WV,3,1,NO,1,1,NO,2970,330,330,2310,2008,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2007
350,54,939905,2013-10-31,OH,500,1495.1,0,609374,MALE,College,wife,50500,0,2015-02-12,1,SC,15,3,NO,0,0,?,93480,15580,7790,70110,2014,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2013
295,49,872814,1992-06-13,IL,500,1141.62,0,451672,MALE,College,husband,34300,-24300,2015-01-01,0,WV,4,1,YES,1,3,YES,4320,480,480,3360,2002,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1992
464,61,632627,1990-10-07,OH,1000,1125.37,0,604450,FEMALE,Associate,husband,0,-56400,2015-01-13,1,VA,6,3,?,0,2,YES,79800,6650,19950,53200,2000,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1990
